text,label
Project material purchase,Education
Electricity bill for shared apartment,Utilities
Refund from online purchase,Income
Monthly allowance from parents,Income
Bought textbooks,Education
Gym membership fee,Healthcare
Furniture purchase for room,Housing
Gym membership fee,Healthcare
Travel guidebook purchase,Travel
Backpack purchase for trip,Travel
Dividend from stocks,Income
Furniture from Pepperfry,Shopping
Education loan EMI,Saving & Debt
Festival gift for relatives,Gifts
Online shopping on Flipkart,Personal Spending
Donation to charity,Miscellaneous
ETF investment,Investments
Project material purchase,Education
Accessories from Flipkart,Shopping
Health insurance premium,Insurance
Travel insurance for trip,Insurance
Security deposit for new room,Housing
Educational software purchase,Education
Postpaid mobile bill payment,Utilities
Perfume purchase from Nykaa,Personal Spending
Baby shower gift,Gifts
Hotel booking for trip,Travel
Purchased gold coins,Investments
Monthly rent for PG accommodation,Housing
Room cleaning service fee,Housing
Dinner at a local dhaba,Food
Mobile recharge for prepaid plan,Utilities
Doctor's consultation fee,Healthcare
Street food at local market,Food
Hotel booking for trip,Travel
Invested in mutual funds,Investments
LPG bill payment,Utilities
Bonds purchase,Investments
Weekend trip to Goa,Recreation
Recurring deposit payment,Saving & Debt
Water bill for hostel,Housing
Invested in mutual funds,Investments
Sports equipment purchase,Shopping
Travel insurance for trip,Insurance
Weekend trip to Goa,Recreation
Cashback received from Amazon,Income
Mobile recharge for prepaid plan,Utilities
Stationery purchase for college,Education
Refund from online purchase,Income
Street food at local market,Food
Medicines from local pharmacy,Healthcare
Recurring deposit payment,Saving & Debt
Monthly savings deposit,Saving & Debt
Gold purchase,Saving & Debt
Exam fee payment,Education
Wedding gift for cousin,Gifts
Credit card payment,Saving & Debt
Donation to charity,Gifts
Fixed deposit interest received,Saving & Debt
Groceries from local store,Food
Scholarship received,Income
Paid hostel fees,Housing
Prize money from competition,Income
Dental checkup at clinic,Healthcare
Flight booking to Goa,Travel
Invested in mutual funds,Investments
LPG bill payment,Utilities
Donation to charity,Gifts
Dividend from stocks,Income
Workshop registration fee,Education
Bought textbooks,Education
Scholarship received,Income
Bus pass recharge,Transportation
Housewarming gift,Gifts
Health supplement purchase,Healthcare
Internet bill payment,Utilities
Peer-to-peer lending,Investments
Courier service fee,Miscellaneous
Bowling alley charges,Recreation
Monthly savings deposit,Saving & Debt
Stationery purchase for college,Education
Health supplement purchase,Healthcare
Bought shoes from Myntra,Personal Spending
Amusement park entry fee,Recreation
Backpack purchase for trip,Travel
Purchased gold coins,Investments
Bank service charge,Miscellaneous
Bowling alley charges,Recreation
Accidental insurance for college,Insurance
Video game purchase,Recreation
Cashback received from Amazon,Income
Monthly savings deposit,Saving & Debt
Courier service fee,Miscellaneous
Education loan EMI,Saving & Debt
Shoes from Nike,Shopping
Books from local store,Miscellaneous
Furniture purchase for room,Housing
Amusement park entry fee,Recreation
Scholarship received,Income
Bought textbooks,Education
Cryptocurrency investment,Investments
Street food at local market,Food
Dental checkup at clinic,Healthcare
Travel insurance for trip,Insurance
Donation to charity,Gifts
Project material purchase,Education
Stationery purchase for college,Miscellaneous
Furniture purchase for room,Housing
Term insurance premium,Insurance
Flight booking for vacation,Transportation
Books from local store,Miscellaneous
Concert tickets for Arijit Singh,Recreation
Cashback received from Amazon,Income
Water bill for hostel,Housing
Mobile recharge for prepaid plan,Utilities
Gift from relative,Income
Accidental insurance for college,Insurance
Real estate investment,Investments
Electronics from Amazon,Shopping
Project material purchase,Education
Watch purchase from Titan,Personal Spending
Dental checkup at clinic,Healthcare
Housewarming gift,Gifts
Life insurance premium,Insurance
Sightseeing tour fee,Travel
Travel insurance for trip,Insurance
Freelance project payment,Income
Sports event tickets,Recreation
Cryptocurrency investment,Investments
Diwali gift for family,Gifts
Hotel booking for trip,Travel
Mutual fund investment,Saving & Debt
Bowling alley charges,Recreation
Home decor items,Shopping
Internet bill for PG,Housing
Canteen lunch at college,Food
Life insurance premium,Insurance
Educational software purchase,Education
Medical insurance for family,Insurance
Gift for friend's birthday,Personal Spending
Parking fee at mall,Transportation
Street food at local market,Food
Recurring deposit payment,Saving & Debt
Ayurvedic treatment payment,Healthcare
Wedding gift for cousin,Gifts
Furniture from Pepperfry,Shopping
Online course subscription,Education
Perfume purchase from Nykaa,Personal Spending
Concert tickets for Arijit Singh,Recreation
Prize money from competition,Income
Stationery purchase for college,Education
Piggy bank savings,Saving & Debt
Cryptocurrency investment,Investments
Educational software purchase,Education
Gold purchase,Saving & Debt
Home decor items,Shopping
Breakfast at college canteen,Food
Auto rickshaw fare to college,Transportation
Wedding gift for cousin,Gifts
Tea and snacks at tapri,Food
Canteen lunch at college,Food
Home decor items,Shopping
ATM withdrawal fee,Miscellaneous
Train ticket to Delhi,Travel
Pizza delivery from Domino's,Food
Bowling alley charges,Recreation
Gym membership fee,Healthcare
Maintenance charges for shared apartment,Housing
Monthly savings deposit,Saving & Debt
Diwali gift for family,Gifts
Refund from online purchase,Income
Broadband bill payment,Utilities
Concert tickets for Arijit Singh,Recreation
Yoga class payment,Healthcare
Eye checkup at optician,Healthcare
Purchased gold coins,Investments
Parking fee at mall,Miscellaneous
Dividend from stocks,Income
Bonds purchase,Investments
Furniture purchase for room,Housing
Netflix subscription renewal,Recreation
Clothes from Myntra,Shopping
Ice cream at Naturals,Food
Dental checkup at clinic,Healthcare
Bonds purchase,Investments
Bought textbooks,Education
Flight booking for vacation,Transportation
Gym membership fee,Healthcare
Juice from fruit vendor,Food
Dinner at a local dhaba,Food
Sports equipment purchase,Shopping
Maintenance charges for shared apartment,Housing
Health insurance premium,Insurance
Invested in fixed deposit,Investments
Internet bill for PG,Housing
Train ticket to hometown,Transportation
Paid college tuition fees,Education
Stationery purchase for college,Education
Stationery purchase for college,Miscellaneous
Music concert tickets,Recreation
Started a SIP in Nifty 50,Investments
Groceries from local store,Food
ETF investment,Investments
Watch purchase from Titan,Personal Spending
Room cleaning service fee,Housing
Refund from online purchase,Income
Train ticket to hometown,Transportation
Baby shower gift,Gifts
Furniture from Pepperfry,Shopping
Bus ticket to hometown,Travel
Housewarming gift,Gifts
Flight booking to Goa,Travel
Freelance project payment,Income
Recurring deposit payment,Saving & Debt
LPG bill payment,Utilities
Eye checkup at optician,Healthcare
Netflix subscription renewal,Recreation
Library membership fee,Education
Exam fee payment,Education
Credit card payment,Saving & Debt
Prize money from competition,Income
Mobile recharge for prepaid plan,Utilities
Video game purchase,Recreation
Bonds purchase,Investments
Post office parcel fee,Miscellaneous
Scholarship received,Income
Security deposit for new room,Housing
Perfume purchase from Nykaa,Personal Spending
Library membership fee,Education
Ayurvedic treatment payment,Healthcare
Medicines from local pharmacy,Healthcare
Water cooler refill,Utilities
Online course subscription,Education
Electricity bill for shared apartment,Utilities
Concert tickets for Arijit Singh,Recreation
Canteen lunch at college,Food
Recurring deposit payment,Saving & Debt
New clothes from local market,Personal Spending
Dental checkup at clinic,Healthcare
Doctor's consultation fee,Healthcare
Auto rickshaw fare to college,Transportation
Recurring deposit payment,Saving & Debt
Exam fee payment,Education
Concert tickets for Arijit Singh,Recreation
Cashback received from Amazon,Income
Cable TV subscription fee,Utilities
Movie tickets at PVR,Recreation
Bonds purchase,Investments
Furniture purchase for room,Housing
Juice from fruit vendor,Food
Invested in mutual funds,Investments
Paid college tuition fees,Education
Bank service charge,Miscellaneous
Sports event tickets,Recreation
Monthly allowance from parents,Income
Metro card top-up,Transportation
Pizza delivery from Domino's,Food
Juice from fruit vendor,Food
Haircut at local salon,Personal Spending
Gym membership fee,Healthcare
Bought stocks on Groww,Investments
Refund from online purchase,Income
Amusement park entry fee,Recreation
Weekend trip to Goa,Recreation
Eye checkup at optician,Healthcare
Dinner at a local dhaba,Food
Courier service fee,Miscellaneous
Cashback received from Amazon,Income
Haircut at local salon,Personal Spending
Water bill for hostel,Housing
Eye checkup at optician,Healthcare
Cosmetics from Sephora,Personal Spending
Monthly rent for PG accommodation,Housing
Movie tickets at PVR,Recreation
Car insurance payment,Insurance
Uber ride to friend's place,Transportation
Monthly allowance from parents,Income
Medical insurance for family,Insurance
Ayurvedic treatment payment,Healthcare
Hotel booking for trip,Travel
Netflix subscription renewal,Recreation
Shoes from Nike,Shopping
Auto rickshaw fare to college,Transportation
Doctor's consultation fee,Healthcare
Canteen lunch at college,Food
Travel insurance for trip,Insurance
Home insurance premium,Insurance
Flight booking to Goa,Travel
Room cleaning service fee,Housing
Stock market investment,Saving & Debt
Project material purchase,Education
Baby shower gift,Gifts
Gift from relative,Income
Bicycle repair charges,Transportation
Monthly savings deposit,Saving & Debt
Haircut at local salon,Personal Spending
Post office parcel fee,Miscellaneous
Furniture from Pepperfry,Shopping
Bonds purchase,Investments
Started a SIP in Nifty 50,Investments
Canteen lunch at college,Food
Library membership fee,Education
Housewarming gift,Gifts
Sports event tickets,Recreation
Broadband bill payment,Utilities
Doctor's consultation fee,Healthcare
Ice cream at Naturals,Food
Mobile recharge for prepaid plan,Utilities
Bike insurance renewal,Insurance
Dividend from stocks,Income
Taxi fare to airport,Travel
Ola ride to railway station,Transportation
Concert tickets for Arijit Singh,Recreation
Monthly allowance from parents,Income
Kitchen appliances purchase,Shopping
Piggy bank savings,Saving & Debt
Online course subscription,Education
Yoga class payment,Healthcare
Movie tickets at PVR,Recreation
Paid college tuition fees,Education
New clothes from local market,Personal Spending
Gift for friend's birthday,Personal Spending
Juice from fruit vendor,Food
Clothes from Myntra,Shopping
Car insurance payment,Insurance
Movie tickets at PVR,Recreation
Bicycle repair charges,Transportation
Sunglasses from Ray-Ban,Personal Spending
Freelance project payment,Income
Yoga class payment,Healthcare
Diwali gift for family,Gifts
Bank service charge,Miscellaneous
Cashback received from Amazon,Income
DTH recharge,Utilities
Internet bill payment,Utilities
Term insurance premium,Insurance
Bought stocks on Groww,Investments
LPG bill payment,Utilities
Mobile recharge for prepaid plan,Utilities
Internet bill payment,Utilities
Monthly rent for PG accommodation,Housing
Bank service charge,Miscellaneous
Piggy bank savings,Saving & Debt
Bike insurance renewal,Insurance
Accessories from Flipkart,Shopping
Loan repayment to friend,Saving & Debt
Travel insurance for trip,Insurance
Perfume purchase from Nykaa,Personal Spending
Life insurance premium,Insurance
Bought stocks on Groww,Investments
Refund from online purchase,Income
Home decor items,Shopping
Canteen lunch at college,Food
Library membership fee,Education
Broadband bill payment,Utilities
Movie tickets at PVR,Recreation
ATM withdrawal fee,Miscellaneous
Credit card payment,Saving & Debt
Photocopy charges,Miscellaneous
Gift for friend's birthday,Personal Spending
Perfume purchase from Nykaa,Personal Spending
Furniture purchase for room,Housing
Travel insurance for trip,Insurance
Cashback received from Amazon,Income
Bike insurance renewal,Insurance
Anniversary gift for parents,Gifts
ETF investment,Investments
Auto rickshaw fare to college,Transportation
Maintenance charges for shared apartment,Housing
Parking fee at mall,Miscellaneous
Ayurvedic treatment payment,Healthcare
Stationery purchase for college,Miscellaneous
Bus ticket to hometown,Travel
Loan repayment to friend,Saving & Debt
Ola ride to railway station,Travel
Exam fee payment,Education
Bought stocks on Groww,Investments
LPG bill payment,Utilities
Uber ride to friend's place,Transportation
Gadgets from Croma,Shopping
Refund from online purchase,Income
Sightseeing tour fee,Travel
Ayurvedic treatment payment,Healthcare
Fuel for bike,Transportation
Scholarship received,Income
Internet bill for PG,Housing
Gas cylinder refill,Utilities
Physiotherapy session fee,Healthcare
Music concert tickets,Recreation
Maintenance charges for shared apartment,Housing
Started a SIP in Nifty 50,Investments
Anniversary gift for parents,Gifts
Electronics from Amazon,Shopping
Groceries from local store,Food
Online shopping on Flipkart,Personal Spending
Security deposit for new room,Housing
Health insurance premium,Insurance
Stock market investment,Saving & Debt
Music concert tickets,Recreation
Paid hostel fees,Housing
Exam fee payment,Education
Bought textbooks,Education
Sports equipment purchase,Shopping
Sports event tickets,Recreation
Started a SIP in Nifty 50,Investments
Eye checkup at optician,Healthcare
Ayurvedic treatment payment,Healthcare
Bowling alley charges,Recreation
Birthday gift for friend,Gifts
Sports event tickets,Recreation
Monthly allowance from parents,Income
Internet bill payment,Utilities
Yoga class payment,Healthcare
Taxi fare to airport,Travel
Bought textbooks,Education
Cashback received from Amazon,Income
Parking fee at mall,Miscellaneous
Broadband bill payment,Utilities
Life insurance premium,Insurance
Perfume purchase from Nykaa,Personal Spending
Exam fee payment,Education
Bought stocks on Groww,Investments
Kitchen appliances purchase,Shopping
Furniture purchase for room,Housing
Piggy bank savings,Saving & Debt
Jewelry purchase,Personal Spending
Fixed deposit interest received,Saving & Debt
Dental checkup at clinic,Healthcare
Prize money from competition,Income
Peer-to-peer lending,Investments
Fuel for bike,Transportation
Gym membership fee,Healthcare
Monthly savings deposit,Saving & Debt
Courier service fee,Miscellaneous
Car insurance payment,Insurance
Credit card payment,Saving & Debt
Bus ticket to hometown,Travel
Stationery purchase for college,Miscellaneous
Thank you gift for teacher,Gifts
Monthly savings deposit,Saving & Debt
Home insurance premium,Insurance
Educational software purchase,Education
Exam fee payment,Education
Gift from relative,Income
Interest from fixed deposit,Income
Mutual fund investment,Saving & Debt
Taxi fare to airport,Travel
Electricity bill for shared apartment,Utilities
Weekend trip to Goa,Recreation
Café hangout with friends,Recreation
Donation to charity,Miscellaneous
Travel insurance for trip,Insurance
ETF investment,Investments
Dental checkup at clinic,Healthcare
Electricity bill for shared apartment,Utilities
Travel insurance payment,Travel
Loan repayment to friend,Saving & Debt
Jewelry purchase,Personal Spending
Paid hostel fees,Housing
Tea and snacks at tapri,Food
Ola ride to railway station,Transportation
Scholarship received,Income
Bought textbooks,Education
Ayurvedic treatment payment,Healthcare
Pizza delivery from Domino's,Food
Loan repayment to friend,Saving & Debt
Music concert tickets,Recreation
Stationery purchase for college,Miscellaneous
Freelance project payment,Income
Video game purchase,Recreation
Exam fee payment,Education
Home decor items,Shopping
Scholarship received,Income
Real estate investment,Investments
Monthly allowance from parents,Income
Watch purchase from Titan,Personal Spending
Kitchen appliances purchase,Shopping
Bonds purchase,Investments
Water bill for hostel,Housing
Donation to charity,Miscellaneous
Library membership fee,Education
Dividend from stocks,Income
Watch purchase from Titan,Personal Spending
Electronics from Amazon,Shopping
Ola ride to railway station,Travel
Anniversary gift for parents,Gifts
Interest from fixed deposit,Income
Health supplement purchase,Healthcare
Ola ride to railway station,Transportation
Loan repayment to friend,Saving & Debt
Electricity bill for shared apartment,Housing
Baby shower gift,Gifts
Prize money from competition,Income
New clothes from local market,Personal Spending
Cryptocurrency investment,Investments
Farewell gift for colleague,Gifts
Metro card top-up,Transportation
Perfume purchase from Nykaa,Personal Spending
Baby shower gift,Gifts
Medicines from local pharmacy,Healthcare
Postpaid mobile bill payment,Utilities
Refund from online purchase,Income
Cashback received from Amazon,Income
DTH recharge,Utilities
Purchased gold coins,Investments
Paid college tuition fees,Education
Sightseeing tour fee,Travel
Gift from relative,Income
Clothes from Myntra,Shopping
Auto rickshaw fare to college,Transportation
DTH recharge,Utilities
Gold purchase,Saving & Debt
Monthly rent for PG accommodation,Housing
Postpaid mobile bill payment,Utilities
Health insurance premium,Insurance
Donation to charity,Gifts
Breakfast at college canteen,Food
Shoes from Nike,Shopping
Health insurance premium,Insurance
Ola ride to railway station,Transportation
Invested in mutual funds,Investments
Sports event tickets,Recreation
DTH recharge,Utilities
Car insurance payment,Insurance
Bonds purchase,Investments
Broadband bill payment,Utilities
Ola ride to railway station,Transportation
Groceries from local store,Shopping
Electricity bill for shared apartment,Utilities
Jewelry purchase,Personal Spending
Train ticket to hometown,Transportation
ETF investment,Investments
Ayurvedic treatment payment,Healthcare
Dinner at a local dhaba,Food
ETF investment,Investments
Invested in mutual funds,Investments
Peer-to-peer lending,Investments
Sports equipment purchase,Shopping
ATM withdrawal fee,Miscellaneous
Stationery purchase for college,Miscellaneous
Jewelry purchase,Personal Spending
Prize money from competition,Income
Internet bill for PG,Housing
Movie tickets at PVR,Recreation
Water bill for hostel,Housing
Bought shoes from Myntra,Personal Spending
Sports event tickets,Recreation
Exam fee payment,Education
Interest from fixed deposit,Income
Photocopy charges,Miscellaneous
Dental checkup at clinic,Healthcare
Online shopping on Flipkart,Personal Spending
Home insurance premium,Insurance
Scholarship received,Income
Ice cream at Naturals,Food
Gift from relative,Income
Sports event tickets,Recreation
Train ticket to Delhi,Travel
Internet bill for PG,Housing
Educational software purchase,Education
Fixed deposit interest received,Saving & Debt
Canteen lunch at college,Food
Scholarship received,Income
Paid hostel fees,Housing
Travel guidebook purchase,Travel
Bought stocks on Groww,Investments
Life insurance premium,Insurance
Post office parcel fee,Miscellaneous
Accessories from Flipkart,Shopping
Clothes from Myntra,Shopping
Parking fee at mall,Miscellaneous
Courier service fee,Miscellaneous
Gift for friend's birthday,Personal Spending
Taxi fare to airport,Travel
Sunglasses from Ray-Ban,Personal Spending
Part-time job salary,Income
Electricity bill for shared apartment,Utilities
Jewelry purchase,Personal Spending
Exam fee payment,Education
Printing charges for project,Miscellaneous
Gas cylinder refill,Utilities
Auto rickshaw fare to college,Transportation
Gift for friend's birthday,Personal Spending
Ola ride to railway station,Transportation
Workshop registration fee,Education
Security deposit for new room,Housing
Monthly savings deposit,Saving & Debt
Jewelry purchase,Personal Spending
Dividend from stocks,Income
Life insurance premium,Insurance
ATM withdrawal fee,Miscellaneous
Shoes from Nike,Shopping
Shoes from Nike,Shopping
Thank you gift for teacher,Gifts
Weekend trip to Goa,Recreation
Furniture purchase for room,Housing
Café hangout with friends,Recreation
Seminar registration fee,Education
Bike insurance renewal,Insurance
Health supplement purchase,Healthcare
DTH recharge,Utilities
Accessories from Flipkart,Shopping
Cashback received from Amazon,Income
Juice from fruit vendor,Food
Water bill for hostel,Housing
Anniversary gift for parents,Gifts
Taxi fare to airport,Travel
Water cooler refill,Utilities
Canteen lunch at college,Food
Postpaid mobile bill payment,Utilities
Home decor items,Shopping
Ordered food from Zomato,Food
Furniture purchase for room,Housing
Fuel for bike,Transportation
Online shopping on Flipkart,Personal Spending
Cashback received from Amazon,Income
Mutual fund investment,Saving & Debt
Amusement park entry fee,Recreation
Room cleaning service fee,Housing
Sunglasses from Ray-Ban,Personal Spending
Post office parcel fee,Miscellaneous
Flight booking to Goa,Travel
Scholarship received,Income
Monthly rent for PG accommodation,Housing
Stationery purchase for college,Miscellaneous
Travel insurance payment,Travel
Gift for friend's birthday,Personal Spending
Maintenance charges for shared apartment,Housing
Post office parcel fee,Miscellaneous
Bought textbooks,Education
ETF investment,Investments
Online shopping on Flipkart,Personal Spending
Train ticket to Delhi,Travel
Train ticket to hometown,Transportation
Educational software purchase,Education
Juice from fruit vendor,Food
DTH recharge,Utilities
Festival gift for relatives,Gifts
Parking fee at mall,Transportation
Water bill for hostel,Housing
Parking fee at mall,Transportation
Life insurance premium,Insurance
Scholarship received,Income
Tea and snacks at tapri,Food
Health insurance premium,Insurance
Train ticket to hometown,Transportation
Stationery purchase for college,Education
Monthly allowance from parents,Income
Paid hostel fees,Housing
Ordered food from Zomato,Food
New clothes from local market,Personal Spending
Cashback received from Amazon,Income
Education loan EMI,Saving & Debt
Pizza delivery from Domino's,Food
Breakfast at college canteen,Food
Freelance project payment,Income
Jewelry purchase,Personal Spending
Fuel for bike,Transportation
Groceries from local store,Shopping
Breakfast at college canteen,Food
Birthday gift for friend,Gifts
Clothes from Myntra,Shopping
Juice from fruit vendor,Food
Medical insurance for family,Insurance
Exam fee payment,Education
Taxi fare to airport,Travel
Bus pass recharge,Transportation
Health supplement purchase,Healthcare
Mutual fund investment,Saving & Debt
Haircut at local salon,Personal Spending
Dividend from stocks,Income
Sunglasses from Ray-Ban,Personal Spending
Mutual fund investment,Saving & Debt
Ola ride to railway station,Transportation
Bought stocks on Groww,Investments
Uber ride to friend's place,Transportation
Freelance project payment,Income
Shoes from Nike,Shopping
DTH recharge,Utilities
Monthly rent for PG accommodation,Housing
Library membership fee,Education
Medical insurance for family,Insurance
Electricity bill for shared apartment,Utilities
Baby shower gift,Gifts
LPG bill payment,Utilities
Bought shoes from Myntra,Personal Spending
Bus pass recharge,Transportation
Accessories from Flipkart,Shopping
Invested in mutual funds,Investments
Electricity bill for shared apartment,Housing
Purchased gold coins,Investments
Donation to charity,Gifts
Yoga class payment,Healthcare
Cable TV subscription fee,Utilities
Gift for friend's birthday,Personal Spending
Gold purchase,Saving & Debt
Clothes from Myntra,Shopping
Broadband bill payment,Utilities
Gold purchase,Saving & Debt
Fuel for bike,Transportation
Two-wheeler insurance payment,Insurance
ATM withdrawal fee,Miscellaneous
Video game purchase,Recreation
Taxi fare to airport,Travel
Sports equipment purchase,Shopping
Perfume purchase from Nykaa,Personal Spending
Real estate investment,Investments
Photocopy charges,Miscellaneous
Printing charges for project,Miscellaneous
Taxi fare to airport,Travel
Paid hostel fees,Housing
ATM withdrawal fee,Miscellaneous
Bonds purchase,Investments
Pizza delivery from Domino's,Food
Health insurance premium,Insurance
Furniture from Pepperfry,Shopping
Laundry service payment,Housing
ETF investment,Investments
Invested in mutual funds,Investments
Term insurance premium,Insurance
Bought textbooks,Education
Groceries from local store,Shopping
Two-wheeler insurance payment,Insurance
Video game purchase,Recreation
Uber ride to friend's place,Transportation
Bus pass recharge,Transportation
Library membership fee,Education
Part-time job salary,Income
Electronics from Amazon,Shopping
Yoga class payment,Healthcare
Postpaid mobile bill payment,Utilities
Anniversary gift for parents,Gifts
Donation to charity,Miscellaneous
Fuel for bike,Transportation
Loan repayment to friend,Saving & Debt
Anniversary gift for parents,Gifts
Seminar registration fee,Education
Travel guidebook purchase,Travel
Gadgets from Croma,Shopping
Bought stocks on Groww,Investments
Room cleaning service fee,Housing
Netflix subscription renewal,Recreation
Workshop registration fee,Education
Seminar registration fee,Education
Train ticket to hometown,Transportation
Fixed deposit interest received,Saving & Debt
Monthly rent for PG accommodation,Housing
Parking fee at mall,Miscellaneous
Bank service charge,Miscellaneous
Groceries from local store,Food
Real estate investment,Investments
Baby shower gift,Gifts
Travel insurance for trip,Insurance
Gold purchase,Saving & Debt
COVID-19 test fee,Healthcare
Loan repayment to friend,Saving & Debt
Purchased gold coins,Investments
Car insurance payment,Insurance
Cable TV subscription fee,Utilities
Started a SIP in Nifty 50,Investments
Amusement park entry fee,Recreation
Health supplement purchase,Healthcare
Ola ride to railway station,Travel
Educational software purchase,Education
Café hangout with friends,Recreation
Sightseeing tour fee,Travel
LPG bill payment,Utilities
Clothes from Myntra,Shopping
Loan repayment to friend,Saving & Debt
Farewell gift for colleague,Gifts
Bowling alley charges,Recreation
Ice cream at Naturals,Food
Train ticket to Delhi,Travel
Bonds purchase,Investments
Bought textbooks,Education
Haircut at local salon,Personal Spending
Real estate investment,Investments
Monthly allowance from parents,Income
Invested in mutual funds,Investments
Dividend from stocks,Income
New clothes from local market,Personal Spending
Room cleaning service fee,Housing
Bank service charge,Miscellaneous
Concert tickets for Arijit Singh,Recreation
Educational software purchase,Education
Bus pass recharge,Transportation
Eye checkup at optician,Healthcare
Life insurance premium,Insurance
Electricity bill for shared apartment,Utilities
Ola ride to railway station,Travel
Life insurance premium,Insurance
Gold purchase,Saving & Debt
Bicycle repair charges,Transportation
Travel insurance payment,Travel
Electronics from Amazon,Shopping
Pizza delivery from Domino's,Food
Refund from online purchase,Income
Cryptocurrency investment,Investments
Water bill for hostel,Housing
Ayurvedic treatment payment,Healthcare
Cashback received from Amazon,Income
Kitchen appliances purchase,Shopping
Two-wheeler insurance payment,Insurance
Bike insurance renewal,Insurance
Furniture from Pepperfry,Shopping
Real estate investment,Investments
Haircut at local salon,Personal Spending
Room cleaning service fee,Housing
Exam fee payment,Education
Project material purchase,Education
Breakfast at college canteen,Food
Stationery purchase for college,Education
Bonds purchase,Investments
Broadband bill payment,Utilities
COVID-19 test fee,Healthcare
Fuel for bike,Transportation
Cosmetics from Sephora,Personal Spending
Watch purchase from Titan,Personal Spending
ETF investment,Investments
Ice cream at Naturals,Food
Wedding gift for cousin,Gifts
Online course subscription,Education
Stationery purchase for college,Miscellaneous
Uber ride to friend's place,Transportation
Bicycle repair charges,Transportation
Video game purchase,Recreation
Monthly savings deposit,Saving & Debt
Street food at local market,Food
Bowling alley charges,Recreation
Scholarship received,Income
Invested in fixed deposit,Investments
Project material purchase,Education
Education loan EMI,Saving & Debt
Internet bill payment,Utilities
LPG bill payment,Utilities
Netflix subscription renewal,Recreation
LPG bill payment,Utilities
Invested in fixed deposit,Investments
Workshop registration fee,Education
Auto rickshaw fare to college,Transportation
Real estate investment,Investments
Clothes from Myntra,Shopping
Café hangout with friends,Recreation
Cable TV subscription fee,Utilities
Paid hostel fees,Housing
Furniture purchase for room,Housing
Workshop registration fee,Education
Electricity bill for shared apartment,Housing
Home insurance premium,Insurance
Juice from fruit vendor,Food
Weekend trip to Goa,Recreation
Stock market investment,Saving & Debt
Health insurance premium,Insurance
LPG bill payment,Utilities
Prize money from competition,Income
Monthly rent for PG accommodation,Housing
Dividend from stocks,Income
Sports event tickets,Recreation
Travel insurance payment,Travel
Uber ride to friend's place,Transportation
Canteen lunch at college,Food
Cryptocurrency investment,Investments
Ayurvedic treatment payment,Healthcare
Haircut at local salon,Personal Spending
Dividend from stocks,Income
Life insurance premium,Insurance
Online shopping on Flipkart,Personal Spending
Recurring deposit payment,Saving & Debt
Education loan EMI,Saving & Debt
Online shopping on Flipkart,Personal Spending
Physiotherapy session fee,Healthcare
Hotel booking for trip,Travel
Diwali gift for family,Gifts
Bowling alley charges,Recreation
Gift for friend's birthday,Personal Spending
Electricity bill for shared apartment,Utilities
Paid college tuition fees,Education
Parking fee at mall,Miscellaneous
Donation to charity,Miscellaneous
Internet bill payment,Utilities
Bowling alley charges,Recreation
Flight booking for vacation,Transportation
DTH recharge,Utilities
Housewarming gift,Gifts
Loan repayment to friend,Saving & Debt
Education loan EMI,Saving & Debt
Room cleaning service fee,Housing
Refund from online purchase,Income
Paid hostel fees,Housing
Seminar registration fee,Education
Electricity bill for shared apartment,Housing
Ordered food from Zomato,Food
Peer-to-peer lending,Investments
Prize money from competition,Income
Stationery purchase for college,Miscellaneous
Monthly rent for PG accommodation,Housing
Baby shower gift,Gifts
Post office parcel fee,Miscellaneous
Photocopy charges,Miscellaneous
Café hangout with friends,Recreation
Accessories from Flipkart,Shopping
Cryptocurrency investment,Investments
Travel insurance for trip,Insurance
Bus pass recharge,Transportation
Sightseeing tour fee,Travel
Mutual fund investment,Saving & Debt
ATM withdrawal fee,Miscellaneous
Travel insurance payment,Travel
Metro card top-up,Transportation
Mobile recharge for prepaid plan,Utilities
ETF investment,Investments
Invested in mutual funds,Investments
Library membership fee,Education
Festival gift for relatives,Gifts
Ice cream at Naturals,Food
Bought stocks on Groww,Investments
Accessories from Flipkart,Shopping
Festival gift for relatives,Gifts
Health insurance premium,Insurance
Internet bill payment,Utilities
Sunglasses from Ray-Ban,Personal Spending
Donation to charity,Gifts
Anniversary gift for parents,Gifts
Education loan EMI,Saving & Debt
Donation to charity,Miscellaneous
Dental checkup at clinic,Healthcare
Prize money from competition,Income
Paid college tuition fees,Education
Travel guidebook purchase,Travel
Travel guidebook purchase,Travel
Fuel for bike,Transportation
Stationery purchase for college,Miscellaneous
Electricity bill for shared apartment,Utilities
Travel guidebook purchase,Travel
Interest from fixed deposit,Income
Bank service charge,Miscellaneous
Furniture purchase for room,Housing
Jewelry purchase,Personal Spending
Flight booking to Goa,Travel
Credit card payment,Saving & Debt
Internet bill for PG,Housing
Parking fee at mall,Miscellaneous
Accessories from Flipkart,Shopping
Groceries from local store,Shopping
Fuel for bike,Transportation
Sports equipment purchase,Shopping
Kitchen appliances purchase,Shopping
Purchased gold coins,Investments
Scholarship received,Income
Monthly rent for PG accommodation,Housing
Dental checkup at clinic,Healthcare
Wedding gift for cousin,Gifts
Prize money from competition,Income
Amusement park entry fee,Recreation
Sports equipment purchase,Shopping
Invested in mutual funds,Investments
Donation to charity,Miscellaneous
Perfume purchase from Nykaa,Personal Spending
